"","peakIndex","peakPPM","peakValue","peakSNR","peakScale","Sample"
"108",18426,8.33237,33.6271432956784,8.12980741331915,16,2
"109",18426,8.33383,27.7070487728959,7.24346519842559,6.5,3
"110",18426,8.33359,44.2209452145871,10.5812415658164,9.5,7
"111",18426,8.33212,53.3226052259492,11.941397899681,16,8
"112",18426,8.33188,25.2819024664029,6.99092946236856,14,11
"113",18426,8.33408,42.03111134526,8.88870730803841,12.5,12
"114",18676,8.24482,15.2604358084428,3.32681610840709,16,1
"115",18676,8.2436,10.1477182853992,2.32151832732477,5,6
"116",18676,8.24409,22.4142257123931,5.08669289583292,12,8
"117",18676,8.24531,27.4346907459211,7.48931462481468,20,11
"118",18676,8.24556,15.5601507746993,3.63108475116271,4.5,13
"119",18676,8.24482,21.4987903183945,5.1154225681192,16,14
"120",18842,8.1832,13.5946826532445,3.70702184353694,20,4
"121",18842,8.1832,18.2331689908835,4.61190421991302,8.5,10
"122",18842,8.18345,38.5079280884623,9.40461704868733,15,13
"123",18842,8.23064,13.0087623030194,2.83594521961033,4.5,1
"124",18842,8.23186,14.3676121020484,3.209488728983,10,7
"125",18842,8.2304,11.1530705739367,2.93542424455461,16,9
"126",18842,8.19959,15.0407734591267,3.81012359185936,16,2
"127",18842,8.19959,18.5510724485838,4.50248762674694,10,6
"128",18842,8.19983,12.4430985262358,2.89684947753836,7.5,8
"129",18842,8.20105,18.8114082973653,5.13527039832822,11,11
"130",18842,8.20081,19.9921990267317,5.18733039803555,6,14
"131",19001,8.16486,12.6860248098566,2.87253758797613,4,1
"132",19001,8.16608,11.501443151383,2.94980081496371,3.5,2
"133",19001,8.16413,10.5797591515369,2.79750404839766,9.5,3
"134",19001,8.16486,11.431793306761,2.83632815085498,4,9
"135",19001,8.16511,11.6664525159974,2.54841190026032,3.5,14
"136",19221,8.11131,49.299763849879,12.6440205518387,13,2
"137",19221,8.11253,41.7217788782097,11.0320890718186,16,3
"138",19221,8.11253,41.0919251881133,10.1952669241266,13,9
"139",19221,8.11229,84.3601057665246,21.3380750198428,15,10
"140",19221,8.11229,57.6030773604564,14.3548583270428,16,11
"141",19221,8.11033,43.7718356043289,9.91139816867246,14,1
"142",19221,8.11033,37.7833013526867,8.88721261875896,15,5
"143",19221,8.11058,65.2402521513348,15.0173885517856,16,8
"144",19221,8.11058,28.0797643528401,6.41799019923581,9.5,12
"145",19221,8.10984,27.8691406034782,6.08771599306163,13,14
"146",19273,8.09835,40.8520827129891,9.30987316269219,15.5,1
"147",19273,8.09884,48.9322460526052,11.4689945103567,12,2
"148",19273,8.0981,48.9128112788132,11.2462225368111,10.5,3
"149",19273,8.09859,48.0263546460947,13.1311322826314,15.5,5
"150",19273,8.0981,44.8537197373959,10.7997706861188,12,8
"151",19273,8.09835,41.2248459288837,10.4564527428001,13.5,9
"152",19273,8.09859,74.6119560295383,18.8723745740876,13.5,10
"153",19273,8.09908,23.6858680434034,5.15280107903375,12.5,14
"154",19850,7.88659,10.9526527618246,2.76494655966049,11.5,1
"155",19850,7.88781,20.3142962405742,4.67752690467819,16,6
"156",19850,7.88707,10.527975714447,1.4065978568201,8,11
"157",19850,8.0201,21.6745802239622,4.85176792056899,10,2
"158",19850,8.02034,13.5875526433519,3.81605776042669,7,4
"159",19850,8.01985,20.4616055757339,5.44811598520686,16,5
"160",19850,8.01961,12.7919665428917,3.1956906489115,7.5,12
"161",19850,8.01912,21.5437430737346,4.70588538403436,7.5,14
"162",19850,7.93207,23.2683986695333,5.23161295290465,19.5,7
"163",19850,7.9306,13.276637041022,3.02373204668304,7.5,9
"164",19850,7.93207,42.452695604471,11.1368784350369,16,13
"165",19850,7.93207,16.3668367613279,3.76514674892977,11,15
"166",20201,7.87094,22.2006854732803,5.6044604221731,9,1
"167",20201,7.87118,79.6843670964609,19.2721322827428,9.5,2
"168",20201,7.87191,29.9795380574806,7.90042105321394,9,3
